460
7;2,-14
1;4,-13
7;5,-14
1;20,-13
3;26,-13
3;30,-13
3;33,-13
6;29,-13
0;46,-13
8;50,2
0;-2,-14
5;1,-13
7;1,-15
1;5,-14
4;6,-14
8;11,1
0;25,-14
3;33,-14
1;39,-14
7;39,-15
7;43,-15
1;-4,-15
6;-5,-15
1;10,-15
1;16,-15
1;21,-15
2;22,-15
4;30,-15
1;36,-15
5;43,-14
4;43,-15
1;44,-15
8;-3,-1
2;-1,-16
3;7,-16
4;10,-16
0;16,-16
5;24,-15
3;27,-16
4;33,-16
6;39,-16
4;53,-16
2;-3,-17
2;-2,-17
5;2,-16
4;5,-17
0;12,-17
0;23,-17
3;39,-17
3;42,-17
6;38,-17
5;50,-16
4;-4,-18
6;-7,-18
1;3,-18
1;9,-18
5;12,-17
3;24,-18
3;29,-18
8;30,-3
1;37,-18
3;42,-18
1;43,-18
2;44,-18
1;-3,-19
1;-1,-19
7;-1,-20
2;9,-19
1;20,-19
3;33,-19
3;35,-19
3;38,-19
7;47,-20
1;-4,-20
5;0,-19
1;1,-20
5;4,-19
7;2,-21
3;20,-20
4;23,-20
4;25,-20
6;27,-20
6;39,-20
4;47,-20
3;-3,-21
2;2,-21
3;8,-21
5;12,-20
3;29,-21
5;31,-20
7;35,-22
8;39,-6
2;41,-21
